label,head_x,head_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
True,240.50055873529962,85.18314805553858,195.71655733885177,156.68387743638002,299.2489623059439,164.53187382695575,187.33751225927966,179.9910480409678,306.97495239803567,201.0511353525569,172.06270840292407,252.39283562468557,323.79188353415356,257.33346153838755,227.48650219984475,319.6928780307013,288.58376083287544,311.3237830086181,216.60642071398797,399.10778741492777,296.4397819184188,397.6445811956082,199.20495732949547,493.22606736216665,306.9069302136092,497.4842148282328
False,201.84140193452123,124.8940750504807,178.7294354384667,131.93213776849063,291.4468008209572,207.3042028286694,229.38260022884916,198.4359649201242,246.27942732407394,174.01706843685304,188.25816550595627,305.56132593584886,380.4961742982907,347.9916998123679,140.54897529625788,301.982029222998,286.10912163130337,247.1730537827264,137.74070480636425,385.95895795911633,267.4642511898637,443.4063628040692,257.8960894742137,458.5356318464846,261.1360459998518,439.3553043020367
True,259.9786168833731,78.68361985314071,200.49044099328697,167.0500138409186,320.1940944190353,135.92407838089198,178.43803590517544,205.5789412479331,319.4930740710175,199.4476234397775,161.15201887053075,273.03032531607437,332.3857533513086,247.1021275684138,210.8034267882802,299.1311595987109,280.5963446280258,290.1002068513131,207.3283986662425,409.18379667192147,305.8536707075877,407.2666012881009,214.60512194797948,504.37818665972094,311.68837509009086,498.85179505802654
False,258.3755143581146,155.75393422557033,282.6750730018414,212.9953708513786,300.9490447401492,232.21268699667166,198.87724000752664,353.7382897596623,313.5148628698867,286.99305500366665,94.99283734262261,244.9799602245187,368.5362480878585,260.92725392973904,151.96079244553692,345.7585239110123,264.8836318662418,309.7617605797908,107.35210109316638,438.6061507853558,318.3703856828764,345.6483707695818,250.24138704938972,599.6709547280564,274.23569420219167,493.3470257105884
True,244.42754278364998,77.57094972632954,202.44121284912478,155.80949367231563,301.34711137649015,140.02159564661275,178.519725186222,194.27537541253068,312.95492382846595,193.75883684320283,147.36562625655685,257.9348451348996,350.21364698227626,260.010929109499,217.8917909943131,305.08923205851005,290.23962668887674,289.87807221708766,220.44255681375952,407.704236128423,295.7921892906842,396.9382974198675,218.0375497741267,503.25653250009094,313.7826262952952,509.86799515266733
False,273.9289415569877,87.51734238337221,141.57519398094922,126.41473007689851,334.98867137975213,186.22763587589037,157.15371789480042,138.81975983591684,333.50419789733735,226.82467823707526,232.00620706614768,231.652574409193,400.68842282918433,207.92449249842593,236.52649639476869,317.89179872802265,297.0096021095072,322.15924339925346,142.68815228236434,470.7896965552641,393.66619954476687,391.781262158998,160.85351950913855,590.5207595977558,275.50530564614564,450.1470928362323
True,244.06577823156644,85.45827703247527,195.01602683312728,154.76991194185928,296.76503612188395,144.52475212194767,167.9746466789032,195.24736941031128,300.2368978940191,214.6871429214956,166.8995417233105,269.24124920813915,334.1147539420668,257.7578688296145,225.38819697754352,298.52485702191035,276.73659869146826,300.52550642516866,208.59073082608964,417.45900594774287,311.3751823196057,400.61677467246983,202.11378759550743,503.1027703617866,292.70616195356183,501.81693673833604
False,401.9558689121988,85.31309449359622,171.26283875235475,111.01784026712747,297.3698267990292,149.74686829444138,209.51677814100552,183.76567104806995,368.3365928583997,192.6664972372505,208.336651908085,199.09220492873976,328.90902808490887,277.8622003892845,354.04210523873786,346.8703916636284,327.2145260812823,326.49376056603774,205.42316309824278,506.31856973238814,247.52761714232867,402.4641623123166,130.1300816337275,528.1988285663236,224.50171584283115,529.7833243049162
True,222.42959284358824,84.45002328846991,202.04990972693338,155.07166446318573,310.41013780421156,140.20305514775274,174.6345833573298,186.59756312483577,327.49628414076267,193.662440641065,148.1761288623162,249.50277192424176,344.94456459233925,247.06076235180078,240.86201530335796,306.3954644999247,276.33669854486425,311.7054413521407,215.13920420262755,409.20359329472814,298.7614558970711,389.46175297031,206.3365890223271,499.97991819359635,288.8406349193612,490.54091403937923
False,204.56696148800577,56.18112020210728,205.31507710638363,215.33439785410042,335.7824461661629,125.23160291805962,150.35924577630476,191.31636888176132,351.77846823082064,219.82668284376942,199.40810888109672,165.4574217371709,263.78781474898443,218.40034223259755,227.87927397945154,286.2759158171164,286.6462983696461,362.4153648841822,164.14012348182186,423.4875374577695,377.1318826049371,392.04093923755534,155.58061627021704,549.1236005576392,255.70112144929124,552.5248546068628
True,254.42176031964374,101.65306138862869,193.91124256109532,132.20915114967158,295.02793379889056,128.8658934002672,178.1697256439467,176.5043166034124,324.4165969956375,202.57444524613535,158.23002897915381,259.2725089184643,335.2880262956107,245.09325484120228,225.4797809140994,291.13566710360675,273.2535067183478,300.7808472451232,224.75272119962585,417.42981660019467,297.9308055602299,411.7846582717487,205.0550108321471,501.5841803207183,292.285754616294,498.54592817093487
False,267.3218962432303,39.263847832739216,225.54046053258296,120.72175541051433,273.4701470352764,178.88053360669107,269.14706872717613,246.65297743499286,367.9709971507496,226.6585632000729,198.26482723718473,243.8853773967606,316.09246231322123,283.62089753773057,166.43541794305244,377.61167579302224,345.5691823705469,272.028419379386,281.81931017777583,298.9450238725288,277.27361153489284,418.54538745582096,321.52727434817024,508.26848587612454,298.81142668423115,546.2004842948844
True,255.44659579226254,69.08861051280813,199.31759967657788,154.481876325468,285.36243263822837,145.15795902741473,199.01658073102337,195.47695977442066,315.5090898518339,221.36497567435393,155.78054419772135,261.5133735816873,334.83521464814424,245.32190111111885,224.52367514597785,297.95499450599874,284.5931872984167,276.3553471549036,199.54618921977706,400.16067653217505,292.03121058456446,389.98386112522815,203.90994024847652,488.4607033101329,311.7096941076422,500.5181003399582
False,239.8533171676803,59.60574161076353,169.61884966358312,51.90336837875854,313.9862925278976,71.99378067911712,105.96452886322157,203.95740839962392,336.3131754151416,253.25030127781739,146.59265705220622,162.70666038607564,374.49287506444034,255.31440864645623,153.2025249449274,377.8295565149919,263.79989106616034,263.4635324804892,199.1138537487159,438.07874005019454,363.3512074939199,348.1402963792568,126.44124680999424,542.6013999057343,283.83986798792944,467.66921313575347
True,236.3270639157575,72.81169794258972,199.84302721379456,134.6916168185508,303.66988223286006,142.23439363395318,170.15944083295133,212.0607741407655,297.18633498738,207.80796139869824,156.13667655205617,247.70483770383848,341.7416050276098,254.5709591677812,234.5739607575056,302.020340596377,275.0141205680024,295.39185616312494,224.35315725040357,394.51215970978626,286.4390731257837,391.9292944510022,198.29247550174355,504.43536769210965,303.38660022168875,497.2146564684817
False,326.2739990851351,27.443077369247433,133.94238338374544,138.3435536269197,360.4736087117069,193.8621912751176,154.965761435082,274.92064032968665,358.94066033745264,164.78407943482344,145.62705234605338,238.52683214476684,315.94613261208036,176.51647274025544,276.78486057010156,324.9629964027308,355.62597950409383,264.0737697599778,271.02227725385745,338.3817139090046,243.70661654655686,392.2152048315099,195.95654695530806,486.9461421935038,280.2780863766584,474.69549610229126
